artist,song
benny blanco,Eastside
SZA,Good Days
YNW Melly,Murder On My Mind
Future,Life Is Good
Juice WRLD,Bandit
Luke Combs,Beautiful Crazy
Drake,Knife Talk
Olivia Rodrigo,deja vu
Lil Uzi Vert,20 Min
Morgan Wallen,Wasted On You
Lil Tecca,Ransom
Travis Scott,HIGHEST IN THE ROOM
Polo G,RAPSTAR
21 Savage,Bank Account
Cardi B,WAP
Steve Lacy,Dark Red
Bryson Tiller,Don't
Post Malone,White Iverson
Sheck Wes,Mo Bamba
Drake,In My Feelings
French Montana,Unforgettable
Post Malone,Candy Paint
Drake,Nonstop
Lil Nas X,MONTERO (Call Me By Your Name)
Dua Lipa,Don't Start Now
DRAM,Broccoli
Juice WRLD,Come & Go
DaBaby,BOP
Drake,Fake Love
Arctic Monkeys,505
Travis Scott,BUTTERFLY EFFECT
Juice WRLD,Wishing Well
Brenda Lee,Rockin' Around The Christmas Tree
Baby Keem,family ties
Tyga,Taste
DaBaby,Suge
Internet Money,Lemonade
Pop Smoke,For The Night
Future,Mask Off
Olivia Rodrigo,traitor
Imagine Dragons,Believer
Mustard,Ballin'
Harry Styles,Adore You
Drake,Money In The Grave (Drake ft. Rick Ross)
Doja Cat,Need To Know
Luis Fonsi,Despacito
Kodak Black,ZEZE
KYLE,iSpy
Khalid,Better
Migos,Bad and Boujee
Bad Bunny,Me Porto Bonito
Imagine Dragons,Thunder
Sam Hunt,Body Like A Back Road
The Killers,Mr. Brightside
A Boogie Wit da Hoodie,Swervin
Tones And I,Dance Monkey
Lauv,I Like Me Better
Juice WRLD,Armed And Dangerous
J. Cole,Wet Dreamz
Lil Uzi Vert,The Way Life Goes
Polo G,Pop Out
Bad Bunny,TitÃ­ Me PreguntÃ³
The Chainsmokers,Don't Let Me Down
Drake,Passionfruit
Chris Brown,No Guidance
Fleetwood Mac,Dreams
SZA,Kill Bill
Camila Cabello,Havana
Bruno Mars,That's What I Like
Kendrick Lamar,Money Trees
Rihanna,Needed Me
Eminem,Godzilla
XXXTENTACION,Everybody Dies In Their Nightmares
Drake,Laugh Now Cry Later
The Weeknd,Save Your Tears
Shawn Mendes,SeÃ±orita
Trevor Daniel,Falling
Lil Nas X,Old Town Road
Kendrick Lamar,DNA.
Big Sean,Bounce Back
Polo G,Martin & Gina
Bad Bunny,DÃKITI
Desiigner,Panda
Jack Harlow,WHATS POPPIN
Bobby Helms,Jingle Bell Rock
Cardi B,Bodak Yellow
Drake,Jumpman
XXXTENTACION,changes
5 Seconds of Summer,Youngblood
Kendrick Lamar,All The Stars
Drake,Hotline Bling
Doja Cat,Woman
Bazzi,Mine
DJ Khaled,I'm the One
Conan Gray,Heather
Justin Bieber,Sorry
A Boogie Wit da Hoodie,Drowning
XXXTENTACION,Look At Me!
Machine Gun Kelly,my ex's best friend
Post Malone,Goodbyes (Feat. Young Thug)
Zedd,The Middle
Drake,Jimmy Cooks
Zach Bryan,Something in the Orange
Lewis Capaldi,Before You Go
Jack Harlow,WHATS POPPIN
Andy Williams,It's the Most Wonderful Time of the Year
Juice WRLD,Lean Wit Me
Twenty One Pilots,Ride
G-Eazy,"Me, Myself & I"
Morgan Wallen,Chasin' You
Twenty One Pilots,Stressed Out
6ix9ine,FEFE
Morgan Wallen,You Proof
Tame Impala,The Less I Know The Better
Khalid,Love Lies
Rihanna,Work
AminÃ©,Caroline
21 Savage,a lot
"Tyler, The Creator",EARFQUAKE
Billie Eilish,everything i wanted
The Weeknd,Call Out My Name
Young Thug,The London
SAINt JHN,Roses
Billie Eilish,Happier Than Ever
Future,WAIT FOR U
Drake,Too Good
Powfu,death bed
Morgan Wallen,More Than My Hometown
Justin Bieber,Peaches
Taylor Swift,Anti-Hero
Future,Low Life
Justin Bieber,Love Yourself
Rae Sremmurd,Black Beatles
Bryson Tiller,Exchange
Panic! At The Disco,High Hopes
Rich The Kid,Plug Walk
Twenty One Pilots,Heathens
Migos,Slippery
Flipp Dinero,Leave Me Alone
"Tyler, The Creator",See You Again
Jonas Brothers,Sucker
Jack Harlow,First Class
Chris Stapleton,Tennessee Whiskey
Doja Cat,Streets
The Weeknd,Can't Feel My Face
Wham!,Last Christmas
Marshmello,Silence
Fetty Wap,Trap Queen
Bruno Mars,Leave The Door Open
Dan + Shay,Tequila
The Neighbourhood,Daddy Issues
Kodak Black,Roll In Peace
Drake,Rich Flex
Joji,Glimpse of Us
Mac Miller,The Spins
Gucci Mane,Wake Up in the Sky
Michael BublÃ©,It's Beginning to Look a Lot Like Christmas
Justin Bieber,What Do You Mean?
The Walters,I Love You So
NF,Let You Down
Sam Smith,Unholy
Ed Sheeran,Perfect
Beach House,Space Song
Maroon 5,Girls Like You
Dan + Shay,Speechless
Fifth Harmony,Work from Home
Drake,Controlla
Ed Sheeran,Thinking out Loud
Mike Posner,I Took A Pill In Ibiza
BÃRNS,Electric Love
Ariana Grande,Santa Tell Me
Ariana Grande,no tears left to cry
Lil Mosey,Noticed
d4vd,Romantic Homicide
Surfaces,Sunday Best
Post Malone,I Like You (A Happier Song)
Dan + Shay,"10,000 Hours"
The Chainsmokers,Roses
Demi Lovato,Sorry Not Sorry
Kanye West,Father Stretch My Hands Pt. 1
Harry Styles,Late Night Talking
Mustard,Pure Water
Kanye West,Heartless
Pop Smoke,What You Know Bout Love
G-Eazy,No Limit
Khalid,Talk
Chance the Rapper,No Problem
A Boogie Wit da Hoodie,Look Back At It
21 Savage,X
Justin Bieber,Intentions
Billie Eilish,bury a friend
Elton John,Cold Heart
Sleepy Hallow,2055
Post Malone,Go Flex
Kodak Black,Tunnel Vision
Lil Nas X,Panini
Migos,Stir Fry
A$AP Ferg,Plain Jane
Billie Eilish,ocean eyes
Surf Curse,Freaks
Major Lazer,Lean On
Tate McRae,you broke me first
Famous Dex,PICK IT UP
Dua Lipa,New Rules
Ariana Grande,positions
Ed Sheeran,Shivers
Ed Sheeran,Bad Habits
Adele,Hello
Adele,Easy On Me
Kodak Black,Super Gremlin
JAY-Z,Ni**as In Paris
OneRepublic,I Ain't Worried
Lizzo,About Damn Time
Ed Sheeran,I Don't Care
Calboy,Envy Me
Drake,Way 2 Sexy
Lady Gaga,Shallow
Migos,Walk It Talk It
Bad Bunny,Efecto
Roddy Ricch,High Fashion
Fetty Wap,679
Burl Ives,A Holly Jolly Christmas
Kali Uchis,telepatÃ­a
JVKE,golden hour
Kate Bush,Running Up That Hill (A Deal With God)
Justin Bieber,Ghost
Julia Michaels,Issues
Maroon 5,Memories
Doja Cat,Say So
Major Lazer,Cold Water
ZAYN,I Donât Wanna Live Forever (Fifty Shades Darker)
Giveon,Heartbreak Anniversary
Migos,T-Shirt
Lil Pump,Gucci Gang
JP Saxe,If The World Was Ending
Zedd,Stay
Drake,Toosie Slide
The Chainsmokers,Something Just Like This
DJ Snake,Let Me Love You
Lil Uzi Vert,Money Longer
Lil Nas X,THATS WHAT I WANT
Hailee Steinfeld,Starving
Lil Uzi Vert,Just Wanna Rock
H.E.R.,Best Part
XXXTENTACION,Revenge
Lil Uzi Vert,Sanguine Paradise
Khalid,Saturday Nights
Gucci Mane,I Get The Bag
Olivia Rodrigo,favorite crime
Masked Wolf,Astronaut In The Ocean
Ariana Grande,"break up with your girlfriend, i'm bored"
YNW Melly,223's
Kanye West,Bound 2
Hozier,Take Me To Church
Ed Sheeran,Beautiful People
Playboi Carti,Magnolia
Rob $tone,Chill Bill
Vance Joy,Riptide
Calvin Harris,This Is What You Came For
Don Toliver,After Party
Juice WRLD,Righteous
Calvin Harris,Slide
Ariana Grande,34+35
Bing Crosby,White Christmas
Shawn Mendes,Stitches
Charlie Puth,Attention
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Young Thug,pick up the phone
Dean Lewis,Be Alright
The Weeknd,I Feel It Coming
Lil Skies,Nowadays
The Kid LAROI,WITHOUT YOU
Lukas Graham,7 Years
Miley Cyrus,Flowers
Metro Boomin,Creepin'
Doja Cat,Ain't Shit
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
Lil Tjay,Calling My Phone
Pop Smoke,Dior
Bad Bunny,MIA
gnash,"i hate u, i love u"
Doja Cat,You Right
THE SCOTTS,THE SCOTTS
Jay Rock,King's Dead
Yot Club,YKWIM?
Drake,Portland
Cardi B,Up
Rae Sremmurd,Swang
Y2K,Lalala
SZA,Love Galore
Lil Xan,Betrayed
Sia,Cheap Thrills
Hailee Steinfeld,Let Me Go
Bailey Zimmerman,Rock and A Hard Place
Sam Smith,Dancing With A Stranger
DJ Khaled,Wild Thoughts
Nat King Cole,The Christmas Song (Merry Christmas To You)
Lil Uzi Vert,You Was Right
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.
Doja Cat,Get Into It (Yuh)
Lil Tjay,F.N
Kiiara,Gold
Carolina GaitÃ¡n,La Gaita
Migos,MotorSport
Jack Ã,Where Are Ã Now
Noah Cyrus,July
Ski Mask The Slump God,Faucet Failure
Lil Nas X,Old Town Road
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!
The Weeknd,Earned It (Fifty Shades Of Grey)
Flo Rida,My House
Saweetie,Best Friend
Ariana Grande,Side To Side
Taylor Swift,Lavender Haze
DJ Khaled,POPSTAR
ZAYN,PILLOWTALK
Luke Combs,Forever After All
Morgan Wallen,Sand In My Boots
Mark Ronson,Uptown Funk
Harry Styles,Falling
The Weeknd,Save Your Tears
Bad Bunny,Yonaguni
Trippie Redd,Miss The Rage
Kygo,It Ain't Me
BTS,Dynamite
Bad Bunny,Moscow Mule
Liam Payne,Strip That Down
Drake,Fair Trade
Diplo,Heartless
The Weeknd,Heartless
Lil Peep,Star Shopping
Russ,Losin Control
Bruno Mars,24K Magic
Portugal. The Man,Feel It Still
Kanye West,Flashing Lights
StaySolidRocky,Party Girl
Farruko,Pepas
Shawn Mendes,Treat You Better
Travis Scott,YOSEMITE
DaBaby,VIBEZ
Justin Bieber,Mistletoe
Morgan Wallen,7 Summers
Luke Combs,The Kind of Love We Make
Billie Eilish,idontwannabeyouanymore
Juice WRLD,Legends
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown]
Famous Dex,JAPAN
Polo G,21
Bad Bunny,Ojitos Lindos
THE ANXIETY,Meet Me At Our Spot
NEIKED,Better Days (NEIKED x Mae Muller x Polo G)
David Guetta,I'm Good (Blue)
Cardi B,Money
DJ Snake,Taki Taki
JosÃ© Feliciano,Feliz Navidad
J Balvin,LA CANCIÃN
Bad Bunny,Callaita
Flume,Never Be Like You
NLE Choppa,Camelot
Playboi Carti,Shoota
GROUPLOVE,Tongue Tied
Quality Control,Baby (Lil Baby feat. DaBaby)
Billie Eilish,wish you were gay
Lil Baby,Woah
Chris Brown,Go Crazy
Future,PUFFIN ON ZOOTIEZ
Martin Garrix,In the Name of Love
Ariana Grande,God is a woman
Post Malone,Take What You Want
2 Chainz,It's A Vibe
The Chainsmokers,Paris
Pop Smoke,Mood Swings
Sam Smith,Stay With Me
Rae Sremmurd,Powerglide
Morgan Wallen,Thought You Should Know
Wiz Khalifa,See You Again
DNCE,Cake By The Ocean
Ellie Goulding,Hate Me
MÃ¥neskin,Beggin'
Lil Skies,Red Roses
The Kid LAROI,GO
Michael BublÃ©,Holly Jolly Christmas
Lil Skies,Lust
Luke Combs,When It Rains It Pours
Childish Gambino,Me and Your Mama
Lil Peep,Falling Down
Stephen Sanchez,Until I Found You
Jordan Davis,Buy Dirt
Lil Baby,Pure Cocaine
Travis Scott,Antidote
Ed Sheeran,Photograph
Cochise,Tell Em
YNW Melly,Suicidal
Miguel,Sky Walker
Ariana Grande,Into You
WILLOW,Wait a Minute!
Kelly Clarkson,Underneath the Tree
Morgan Wallen,Last Night
PinkPantheress,Boy's a liar Pt. 2
Travis Scott,STARGAZING
NLE Choppa,Walk Em Down
Lil Wayne,Sucker For Pain
Queen,Bohemian Rhapsody
Taylor Swift,You Need To Calm Down
Playboi Carti,Sky
Selena Gomez,Lose You To Love Me
Maroon 5,What Lovers Do
Drake,I'm Upset
DJ Snake,Middle
Justin Bieber,Holy
GAYLE,abcdefu
Lord Huron,The Night We Met
BeyoncÃ©,CUFF IT
Khalid,OTW
Post Malone,Enemies
CJ,Whoopty
Nicki Minaj,Super Freaky Girl
Cardi B,Bartier Cardi
Kid Cudi,Pursuit Of Happiness (Nightmare)
21 Savage,No Heart
Dean Martin,Let It Snow! Let It Snow! Let It Snow!
Wallows,Are You Bored Yet?
Ali Gatie,It's You
Ava Max,Sweet but Psycho
J Balvin,Mi Gente
Nio Garcia,Te BotÃ©
A$AP Rocky,Praise The Lord (Da Shine)
Camila Cabello,Never Be the Same
blackbear,do re mi
Walker Hayes,Fancy Like
Shawn Mendes,There's Nothing Holdin' Me Back
Billie Eilish,Therefore I Am
Kanye West,I Love It (& Lil Pump)
Sia,Chandelier
Morgan Wallen,Cover Me Up
Olivia Rodrigo,happier
Lil Durk,Broadway Girls
Jeremih,oui
Eminem,Lucky You
Billie Eilish,you should see me in a crown
YG,BIG BANK
The Weeknd,Stargirl Interlude
Taylor Swift,Midnight Rain
Post Malone,One Right Now
Olivia Rodrigo,"jealousy, jealousy"
Shawn Mendes,If I Can't Have You
Maroon 5,Sugar
Nicky Youre,Sunroof
Niall Horan,Slow Hands
Bazzi,Beautiful
XXXTENTACION,Hope
Post Malone,Ball For Me
Yo Gotti,Rake It Up
Perry Como,It's Beginning to Look a Lot Like Christmas
Childish Gambino,This Is America
Olivia Rodrigo,brutal
Frank Ocean,Lost
SZA,Shirt
Russ,What They Want
Elvis Presley,Blue Christmas
Pooh Shiesty,Back In Blood
Rich The Kid,New Freezer
The Ronettes,Sleigh Ride
JACKBOYS,OUT WEST
Halsey,Bad At Love
Drake,Pop Style
Jack Harlow,Tyler Herro
Lil Baby,We Paid
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around"
XXXTENTACION,the remedy for a broken heart (why am I so in love)
Juice WRLD,Wasted
Halsey,Now Or Never
YNW Melly,Mixed Personalities
Metro Boomin,Space Cadet
Lil Dicky,Freaky Friday
Zara Larsson,Never Forget You
Selena Gomez,Wolves
Marshmello,FRIENDS
PARTYNEXTDOOR,Come and See Me
Megan Thee Stallion,Savage Remix
WALK THE MOON,Shut Up and Dance
Drake,Back To Back
Big Sean,I Don't Fuck With You
Billie Eilish,i love you
Miguel,Sure Thing
Conan Gray,Maniac
Ritt Momney,Put Your Records On
Charlie Puth,We Don't Talk Anymore
Blueface,Thotiana
YBN Nahmir,Bounce Out With That
Imagine Dragons,Enemy
Cage The Elephant,Cigarette Daydreams
Sam Smith,Too Good At Goodbyes
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Chief Keef,Love Sosa
Bruno Mars,Finesse
Lil Baby,Freestyle
Kane Brown,Be Like That
FRENSHIP,Capsize
Young Thug,Hot
John Legend,All of Me
Chris Brown,Under The Influence
Juice WRLD,Hate The Other Side
Major Lazer,Light It Up
Ariana Grande,breathin
Band Aid,Do They Know It's Christmas?
Lil Mosey,Stuck In A Dream
Machine Gun Kelly,Bad Things
Chuck Berry,Run Rudolph Run
Future,Fine China
Sam Smith,How Do You Sleep?
Luis Fonsi,Despacito (Featuring Daddy Yankee)
The Weeknd,Often
Don Toliver,No Idea
Eslabon Armado,Jugaste y SufrÃ­
DaBaby,TOES
Lady Gaga,Rain On Me
Bad Bunny,Party
KAROL G,PROVENZA
Jawsh 685,Savage Love (Laxed
Playboi Carti,wokeuplikethis*
Lil Skies,i
Kevin Gates,2 Phones
Kane Brown,Heaven
G Herbo,PTSD
SZA,I Hate U
Hotel Ugly,Shut up My Moms Calling
Harry Styles,Lights Up
Kane Brown,What Ifs
Drake,Whatâs Next
Migos,Narcos
"Tyler, The Creator",NEW MAGIC WAND
The Weeknd,Party Monster
Pop Smoke,The Woo
Tory Lanez,The Color Violet
Drake,Energy
Bad Bunny,DespuÃ©s de la Playa
Selena Gomez,Back To You
The Weeknd,I Was Never There
Marshmello,One Thing Right
Alessia Cara,Here
Drake,Chicago Freestyle
Drake,"Hold On, We're Going Home"
OneRepublic,Counting Stars
Taylor Swift,Look What You Made Me Do
Rihanna,Love On The Brain
Selena Gomez,Good For You
Taylor Swift,Karma
Fetty Wap,Again
Gunna,DOLLAZ ON MY HEAD
Cigarettes After Sex,Apocalypse
Gunna,pushin P
The Weeknd,Pray For Me
Katy Perry,Dark Horse
Baby Keem,ORANGE SODA
Kodak Black,Codeine Dreaming
Bazzi,Paradise
Tears For Fears,Everybody Wants To Rule The World
d4vd,Here With Me
Alessia Cara,Scars To Your Beautiful
SZA,Low
Young Thug,Relationship
Quavo,HOTEL LOBBY (Unc & Phew)
Lizzo,Good As Hell
XXXTENTACION,BAD!
Taylor Swift,Maroon
Adele,Send My Love (To Your New Lover)
Drake,Gyalchester
BENEE,Supalonely
BROCKHAMPTON,SUGAR
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)"
Ed Sheeran,Castle on the Hill
Bastille,Pompeii
Starley,Call On Me
Maroon 5,Don't Wanna Know
Zara Larsson,Lush Life
Journey,Don't Stop Believin'
Lauv,i'm so tired...
Dua Lipa,IDGAF
G-Eazy,Him & I
Dove Cameron,Boyfriend
TiÃ«sto,Jackie Chan
Kent Jones,Don't Mind
Jessie J,Bang Bang
Drake,Know Yourself
Future,Where Ya At
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)"
J. Cole,Work Out
Iggy Azalea,Fancy
Kanye West,Famous
Ellie Goulding,Close To Me
Calvin Harris,One Kiss
Luke Combs,Hurricane
NAV,Wanted You
Taylor Swift,Bejeweled
6LACK,PRBLMS
Frank Ocean,Pink + White
Travis Scott,beibs in the trap
French Montana,No Stylist
Calvin Harris,Feels
The Chainsmokers,This Feeling
Manuel Turizo,La Bachata
Kendrick Lamar,ELEMENT.
YoungBoy Never Broke Again,Make No Sense
Shawn Mendes,Mercy
Clean Bandit,Rather Be
Taylor Swift,"You're On Your Own, Kid"
Camila Cabello,My Oh My
Juice WRLD,Smile
Ariana Grande,Dangerous Woman
21 Savage,Runnin
Ellie Goulding,Love Me Like You Do
AJR,Bang!
SZA,Snooze
Selena Gomez,Hands To Myself
Kevin Gates,Really Really
Ayo & Teo,Rolex
Future,F*ck Up Some Commas
Ice Cube,It Was A Good Day
Kesha,Praying
Bruno Mars,Smokin Out The Window
Imagine Dragons,Natural
Flume,Say It
Bad Bunny,Neverita
Lil Uzi Vert,Myron
Post Malone,Stay
J. Cole,KOD
Kanye West,All Mine
YG,Go Loko
Latto,Big Energy
Lil Baby,Sum 2 Prove
Eminem,Lose Yourself
XXXTENTACION,Arms Around You
Daya,Hide Away
Fall Out Boy,Centuries
Ariana Grande,Stuck with U
Gabby Barrett,I Hope
Big Sean,Moves
J. Cole,Neighbors
Rema,Calm Down
Pop Smoke,Hello
Jessica Darrow,Surface Pressure
Taylor Swift,cardigan
Megan Thee Stallion,Body
Dua Lipa,Break My Heart
Rae Sremmurd,No Type
Tee Grizzley,First Day Out
Lorde,Royals
Post Malone,Paranoid
Ruth B.,Dandelions
Alessia Cara,How Far I'll Go
Brent Faiyaz,ALL MINE
Rich The Kid,Splashin
Becky G,MAMIII
OMI,Cheerleader (Felix Jaehn Remix)
Lil Uzi Vert,Sauce It Up
Kanye West,Praise God
Jason Derulo,Want to Want Me
Billie Eilish,bellyache
YBN Nahmir,Rubbin Off The Paint
KYLE,Playinwitme
Maroon 5,Beautiful Mistakes
Drake,Still Here
SZA,Nobody Gets Me
Alessia Cara,Wild Things
Lil Uzi Vert,P2
Logic,Everyday
Eminem,'Till I Collapse
Nick Jonas,Close
Flo Rida,GDFR
The Chainsmokers,All We Know
Lil Uzi Vert,That Way
Marc E. Bassy,You & Me
Foo Fighters,Everlong
Imagine Dragons,Demons
Bad Bunny,Tarot
Jason Derulo,Swalla
Mykola Dmytrovych Leontovych,Carol of the Bells
Thomas Rhett,Die A Happy Man
Megan Thee Stallion,Thot Shit
Eartha Kitt,Santa Baby
Travis Scott,Goosebumps
Young M.A,OOOUUU
Noah Kahan,Stick Season
Gucci Mane,Both
The Rare Occasions,Notion
Lil Uzi Vert,New Patek
Selena Gomez,Same Old Love
Drake,Legend
Darlene Love,Christmas (Baby Please Come Home)
Drake,Big Rings
Avicii,Wake Me Up
Drake,Girls Want Girls
Jon Bellion,All Time Low
G-Eazy,I Mean It
Khalid,Saved
Taylor Swift,Snow On The Beach
Rihanna,Bitch Better Have My Money
Meghan Trainor,All About That Bass
Post Malone,Saint-Tropez
Justin Bieber,Lonely
J. Cole,m y . l i f e
Jonas Blue,Fast Car
Clean Bandit,Rockabye
Lil Baby,On Me
Imagine Dragons,Bones
Kygo,Stay
Post Malone,Rich & Sad
DJ Khaled,No Brainer
Polo G,Flex
Drake,0 To 100 / The Catch Up
MAGIC!,Rude
Timeflies,Once In a While
AJR,Weak
Drake,Sneakinâ
Taylor Swift,Lover
Chance the Rapper,Hot Shower
Ariana Grande,Problem
Lil Uzi Vert,Futsal Shuffle 2020
Ariana Grande,imagine
Troye Sivan,YOUTH
Drake,Mob Ties
Drake,Donât Matter To Me
PnB Rock,Selfish
J. Cole,Deja Vu
A Boogie Wit da Hoodie,Startender
Kodak Black,No Flockin
Arctic Monkeys,I Wanna Be Yours
James Bay,Let It Go
Robin Schulz,Sugar
Rauw Alejandro,Todo De Ti
Juice WRLD,Conversations
City Girls,Act Up
Trippie Redd,Topanga
Luke Combs,Beer Never Broke My Heart
Camila Cabello,Bam Bam
Kendrick Lamar,N95
Thomas Rhett,Unforgettable
YNW Melly,Suicidal (Remix)
21 Savage,Glock In My Lap
Ariana Grande,boyfriend
Yung Gravy,Betty (Get Money)
Drake,Spin Bout U
Fetty Wap,My Way
Macklemore,Glorious
MKTO,Classic
Ella Mai,Boo'd Up
Calvin Harris,Summer
Lil Tecca,Ransom
Kanye West,Hurricane
Neon Trees,Everybody Talks
Nardo Wick,Who Want Smoke??
Tay-K,The Race
Passenger,Let Her Go
Baby Keem,HONEST
Lil Nas X,HOLIDAY
Cole Swindell,She Had Me At Heads Carolina
RAYE,Escapism.
One Direction,Drag Me Down
Young Thug,Bad Bad Bad
Taylor Swift,Donât Blame Me
BeyoncÃ©,7/11
Lil Tecca,Did It Again
Megan Thee Stallion,Savage
Omar Apollo,Evergreen
Halsey,You should be sad
Metro Boomin,10 Freaky Girls
Justin Bieber,Yummy
MadeinTYO,Uber Everywhere
DJ Khaled,EVERY CHANCE I GET
Clairo,Sofia
Ella Mai,Trip
Post Malone,Spoil My Night
Old Dominion,One Man Band
Mustard,Baguettes in the Face
Disclosure,Latch
NLE Choppa,Shotta Flow (Feat. Blueface) [Remix]
WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker
Marshmello,Be Kind
Ellie Goulding,On My Mind
Taylor Swift,Delicate
Morgan Wallen,Somebodyâs Problem
ZAYN,Dusk Till Dawn
Justin Bieber,Hold On
Future,Selfish
Brett Young,In Case You Didn't Know
Megan Thee Stallion,Cash Shit
Nicki Minaj,Only
Jason Aldean,You Make It Easy
Taylor Swift,willow
Kodak Black,Transportin'
Meghan Trainor,Made You Look
Halsey,Graveyard
Morgan Wallen,One Thing At A Time
Bad Bunny,LA NOCHE DE ANOCHE
Cheat Codes,No Promises
Drake,Summer Sixteen
The Lumineers,Ophelia
Omarion,Post to Be
Polo G,Go Stupid
David Guetta,2U
Justin Bieber,Anyone
Bazzi,I.F.L.Y.
Thomas Rhett,Marry Me
Florida Georgia Line,H.O.L.Y.
Kehlani,Nights Like This
J. Cole,p r i d e . i s . t h e . d e v i l
2 Chainz,4 AM
Kodak Black,Calling My Spirit
Coldplay,Hymn for the Weekend
Cardi B,Be Careful
Quavo,WORKIN ME
Drake,Pussy & Millions
Bruno Mars,Talking to the Moon
The Weeknd,In Your Eyes
Nirvana,Smells Like Teen Spirit
SZA,The Weekend
Maroon 5,Animals
Trippie Redd,Taking A Walk
BTS,Butter
24kGoldn,VALENTINO
Bad Bunny,La Corriente
Lizzo,Juice
Lil Yachty,One Night
Loud Luxury,Body
Daya,"Sit Still, Look Pretty"
The Weeknd,Reminder
Logic,Homicide
Marshmello,Here With Me
Ed Sheeran,Don't
Yeat,MonÃ«y so big
Bad Bunny,Vete
Taylor Swift,exile
Young Thug,Hot (Remix)
Maroon 5,Maps
The Jackson 5,Santa Claus Is Coming To Town
A$AP Rocky,F**kin' Problems
Calvin Harris,Rollin
Harry Styles,Matilda
Ariana Grande,Break Free
CKay,love nwantiti (ah ah ah)
Macklemore & Ryan Lewis,Can't Hold Us
Surf Mesa,ily
Dean Martin,"Baby, It's Cold Outside"
Bryson Tiller,Sorry Not Sorry
Selena Gomez,Bad Liar
Joel Adams,Please Don't Go
Snakehips,All My Friends
J. Cole,G.O.M.D.
Kodak Black,Too Many Years
21 Savage,Mr. Right Now
DaBaby,Goin Baby
Juice WRLD,Black & White
Steve Lacy,Static
DJ Khaled,For Free
Fifth Harmony,Worth It
Bad Bunny,Un Ratito
Elley DuhÃ©,MIDDLE OF THE NIGHT
Drake,Childs Play
Calvin Harris,How Deep Is Your Love
YK Osiris,Worth It
Meghan Trainor,Like I'm Gonna Lose You
XXXTENTACION,whoa (mind in awe)
The Beach Boys,Little Saint Nick
Desiigner,Tiimmy Turner
Charlie Puth,Light Switch
Taylor Swift,ME!
The Weeknd,Acquainted
Rihanna,FourFiveSeconds
KAROL G,Tusa
Ski Mask The Slump God,Nuketown
Lil Uzi Vert,Erase Your Social
NAV,Tap
Mariah Carey,Christmas (Baby Please Come Home)
Tory Lanez,LUV
Martin Garrix,Scared to Be Lonely
ThxSoMch,SPIT IN MY FACE!
SZA,Blind
